colony_id,name,reg_number,category,boundary_delineated,map_number,satellite_boundary_pdf_url,final_boundary_pdf_url,upload_date,remarks,source_link
1563,"Nathu Colony (School Block) Shadara, Delhi-93",1565,regular,1,70,,https://dda.gov.in/sites/default/files/pmuday/70_1565.pdf,2020-03-11,,https://dda.gov.in/delineated-boundary
1564,"Sangam Vihar, B-Block, New Delhi-62",1566,regular,1,747,,https://dda.gov.in/sites/default/files/pmuday/747_1566.pdf,2020-06-01,"(1) REGD. NO.706_Sangam Vihar, B-I, Block, Sangam Vihar, New Delhi-62",https://dda.gov.in/delineated-boundary
1565,"Vaishali Extn., Dabri,",1567,regular,1,423,,https://dda.gov.in/sites/default/files/pmuday/423_1567.pdf,2020-05-20,,https://dda.gov.in/delineated-boundary
1566,"Ashok Nagar, Harijan Basti",1568,regular,1,258,,https://dda.gov.in/sites/default/files/pmuday/258_1568.pdf,2020-05-16,,https://dda.gov.in/delineated-boundary
1567,"Ashola Extension, Delhi.",1569,regular,1,466,https://dda.gov.in/sites/default/files/pmuday/466_1569.pdf,,2019-12-03,,https://dda.gov.in/delineated-boundary
1568,"Shanti Park, Uttam Nagar, Main Najafgarh Road, New Delhi-59",1570,regular,0,1585,,,2020-03-19,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP""",https://dda.gov.in/delineated-boundary
1569,"Krishna Puri Mandawali, Fazalpur.",1571,regular,0,,,,,Boundary map pending or omitted from DDA portal table,https://dda.gov.in/sites/default/files/pmuday/1731_uc.pdf
1570,Sainik Enclave,1572,regular,1,969,https://dda.gov.in/sites/default/files/pmuday/969_1572.pdf,,2019-12-11,,https://dda.gov.in/delineated-boundary
1571,"Shanti Mohalla Extn., Seelampur, Gandhi Nagar, Delhi-31",1573,regular,1,101,,https://dda.gov.in/sites/default/files/pmuday/101_1573.pdf,2020-04-23,,https://dda.gov.in/delineated-boundary
1572,"Krishna Estate, G-Block, Punjabi Colony, Narela, Delhi",1574,regular,1,1252,https://dda.gov.in/sites/default/files/pmuday/1252_1574.pdf,,2019-12-19,,https://dda.gov.in/delineated-boundary
1573,"Mandawali, Fazalpur (Gali No.1, 2) Primary School",1575,regular,1,1010,,https://dda.gov.in/sites/default/files/pmuday/1010_1575.pdf,2020-06-05,,https://dda.gov.in/delineated-boundary
1574,"Mandawali Colony, (South Indian Society)",1576,regular,1,1305,,https://dda.gov.in/sites/default/files/pmuday/1305_1576.pdf,2020-06-15,,https://dda.gov.in/delineated-boundary
1575,"Indra Vikas Colony,",1577,regular,1,77,,https://dda.gov.in/sites/default/files/pmuday/77_1577.pdf,2020-03-11,(1) REGD. NO. 1576_MANDAWALI COLONY (SOUTH INDIAN SOCIETY ),https://dda.gov.in/delineated-boundary
1576,"Hari Nagar Etn., L-Block, Saurabh Vihar, Jaitpur, New Delhi",1578,regular,1,1364,,https://dda.gov.in/sites/default/files/pmuday/1364_1578.pdf,2020-06-16,,https://dda.gov.in/delineated-boundary
1577,"Dilshad Masjid (Mustafabad) Karawal Nagar,",1579,regular,1,230,,https://dda.gov.in/sites/default/files/pmuday/MAP%20230_1579.pdf,2020-05-16,,https://dda.gov.in/delineated-boundary
1578,"Krishna Park Extnesion, D-Block, Deoli Village",1580,regular,1,1067,,https://dda.gov.in/sites/default/files/pmuday/1067_1580.pdf,2020-06-08,"(1) REGD. NO.1231_Krishna park, Khanpur, Devli Road",https://dda.gov.in/delineated-boundary
1579,"Vishnu Garden, NW-Block, New Delhi",1581,regular,1,35,,https://dda.gov.in/sites/default/files/pmuday/35_1581.pdf,2020-03-11,,https://dda.gov.in/delineated-boundary
1580,"Nai Basti, (Harijan Basti) Okhla",1582,regular,1,1078,,https://dda.gov.in/sites/default/files/pmuday/1078_1582.pdf,2020-06-08,,https://dda.gov.in/delineated-boundary
1581,"Sewa Sadan, Mandawali, Fazalpur",1583,regular,1,1388,,https://dda.gov.in/sites/default/files/pmuday/1388_1583.pdf,2020-06-16,,https://dda.gov.in/delineated-boundary
1582,"Vaishali Extension, Dabri Palam",1584,regular,1,421,,https://dda.gov.in/sites/default/files/pmuday/421_1584.pdf,2020-05-20,,https://dda.gov.in/delineated-boundary
1583,"Uttam Nagar, GI Block",1585,regular,1,693,,https://dda.gov.in/sites/default/files/pmuday/693_1585.pdf,2020-05-29,"(1) REGD. NO.1504_Anand Vihar Gurpreet Nagar, R-Block, PtI,Uttam Nagar, New Delhi-59",https://dda.gov.in/delineated-boundary
1584,"Chauha Patti Vistar, West Karawal Nagar Delhi 91",1586,regular,0,1710,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1585,"Mukti Aashram Colony, Ibrahim Pur.",1588,regular,1,1304,,https://dda.gov.in/sites/default/files/pmuday/1304_1588.pdf,2020-06-15,,https://dda.gov.in/delineated-boundary
1586,"Ashola Extn., Part-I",1589,regular,1,586,https://dda.gov.in/sites/default/files/pmuday/586_1589.pdf,,2019-12-04,,https://dda.gov.in/delineated-boundary
1587,"Prem Nagar, A B & D E F Najafgarh",1590,regular,1,976,,https://dda.gov.in/sites/default/files/pmuday/976_1590.pdf,2020-06-04,,https://dda.gov.in/delineated-boundary
1588,"Vishnu Garden, (R2/C Block) Extension No.2",1591,regular,1,34,,https://dda.gov.in/sites/default/files/pmuday/34_1591.pdf,2020-03-11,,https://dda.gov.in/delineated-boundary
1589,"Durga Vihar Extension, Najafgarh, New Delhi",1592,regular,1,1387,,https://dda.gov.in/sites/default/files/pmuday/1387_1592.pdf,2020-06-16,,https://dda.gov.in/delineated-boundary
1590,"Mohan Puri, D-Block, North Ghonda, Maujpur Extn.",1594,regular,1,55,,https://dda.gov.in/sites/default/files/pmuday/55_1594.pdf,2020-03-11,,https://dda.gov.in/delineated-boundary
1591,"Vijay Park Extension, (LOP), Gali No.15, Najafgarh",1595,regular,1,768,,https://dda.gov.in/sites/default/files/pmuday/768_1595.pdf,2020-06-01,,https://dda.gov.in/delineated-boundary
1592,"South Indian Madrasi Colony, Mori Gate",1596,regular,0,1711,,,2020-04-27,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP"" (""Shapefile"" of the colony is not available)",https://dda.gov.in/delineated-boundary
1593,"Mandawali, Fazalpur, (LOP), A-Block,",1597,regular,1,1016,,https://dda.gov.in/sites/default/files/pmuday/1016_1597.pdf,2020-06-05,"(1) REGD. NO.1571_Krishna Puri Mandawali, Fazalpur, (2) REGD. NO.695_Mandawali Fazalpur B-Block,Delhi",https://dda.gov.in/delineated-boundary
